location_type,FACILITY_ID,DOCTOR_ID,facility,facilitycode,roster_6a8,theta_mle
1,750110,75011001,NA,177,4,-4.656829833984375
1,750111,75011101,NA,178,6,0.2591699957847595
1,750112,75011202,NA,179,6,0.42777299880981445
1,750113,75011301,NA,180,6,-1.2656199932098389
1,750114,75011401,NA,181,4,-0.6087419986724854
1,750115,75011502,NA,182,6,-0.6780539751052856
1,750116,75011601,NA,183,4,-0.6871669888496399
1,750117,75011701,NA,184,2,-0.48644301295280457
1,750118,75011801,NA,185,4,-3.6824100017547607
1,750119,75011901,NA,186,4,-1.5665600299835205
1,750220,75022001,NA,187,4,-0.08953409641981125
1,750221,75022101,NA,188,4,-1.7011300325393677
1,750222,75022201,NA,189,4,-0.8492500185966492
1,750223,75022301,NA,190,4,-1.2107000350952148
1,750324,75032401,NA,191,4,-0.19356800615787506
1,750325,75032501,NA,192,4,-0.31422799825668335
1,750326,75032609,NA,193,4,-0.49990400671958923
1,750327,75032701,NA,194,6,-0.3675230145454407
1,750428,75042801,NA,195,2,-0.8867819905281067
1,750429,75042908,NA,196,4,0.6834409832954407
1,750530,75053001,NA,197,4,-1.4504899978637695
1,750531,75053101,NA,198,4,-0.46678999066352844
1,750532,75053201,NA,199,4,-1.1850500106811523
1,750633,75063301,NA,200,2,-1.7815300226211548
1,750634,75063401,NA,201,4,-1.9245200157165527
1,750635,75063501,NA,202,4,-0.9542809724807739
1,750635,75063504,NA,202,2,-1.342900037765503
1,750736,75073601,NA,203,4,-4.247719764709473
1,750736,75073602,NA,203,4,0.1225230023264885
1,750736,75073603,NA,203,2,0.24138499796390533
1,750736,75073605,NA,203,2,-2.2007501125335693
1,750737,75073701,NA,204,4,-0.005937159992754459
1,750738,75073801,NA,205,4,-1.3948800563812256
1,750738,75073803,NA,205,2,-1.1586400270462036
1,750839,75083901,NA,206,4,0.5170400142669678
1,750940,75094001,NA,207,4,-0.4069490134716034
1,870101,87010107,NA,208,4,-2.2230899333953857
1,870102,87010201,NA,209,2,-0.5020120143890381
1,870103,87010303,NA,210,4,-0.7600209712982178
1,870104,87010401,NA,211,3,-2.024240016937256
1,870105,87010501,NA,212,4,-0.13311399519443512
1,870106,87010602,NA,213,4,-0.38104599714279175
1,870106,87010608,NA,213,4,0.8406350016593933
1,870107,87010701,NA,214,2,-1.8926899433135986
1,870108,87010801,NA,215,4,0.3669629991054535
1,870108,87010802,NA,215,2,-0.9646270275115967
1,870109,87010901,NA,216,2,-2.4281399250030518
1,870110,87011001,NA,217,2,-0.6512140035629272
1,870211,87021101,NA,218,4,-1.5396900177001953
1,870212,87021201,NA,219,4,0.5085189938545227
1,870213,87021301,NA,220,4,0.5883780121803284
1,870214,87021401,NA,221,2,-1.8009899854660034
1,870215,87021501,NA,222,4,-0.56577301025390625
1,870216,87021601,NA,223,6,0.2930389940738678
1,870317,87031701,NA,224,6,0.046500399708747864
1,870318,87031801,NA,225,6,-2.708199977874756
1,870419,87041901,NA,226,6,-0.7234269976615906
1,870420,87042001,NA,227,4,-0.6738190054893494
1,870521,87052101,NA,228,2,-1.7509499788284302
1,870622,87062201,NA,229,NA,-0.5363349914550781
1,870623,87062301,NA,230,6,-0.7714869976043701
1,870724,87072401,NA,231,4,-1.7420200109481812
1,870725,87072501,NA,232,4,0.5897120237350464
1,870726,87072601,NA,233,4,0.5649679899215698
1,870727,87072701,NA,234,4,0.14506499469280243
1,870828,87082801,NA,235,4,-0.21862100064754486
1,870829,87082902,NA,236,2,-2.4613499641418457
1,870830,87083001,NA,237,6,0.4237779974937439
1,870931,87093101,NA,238,6,0.5088340044021606
1,870932,87093201,NA,239,4,0.4748139977455139
1,870933,87093301,NA,240,6,-0.6905270218849182
1,871034,87103401,NA,241,3,0.6189249753952026
1,871035,87103501,NA,242,4,-0.12529200315475464
1,871036,87103603,NA,243,4,-1.3274699449539185
1,871037,87103701,NA,244,4,-0.9401280283927917
1,871138,87113801,NA,245,4,-0.20191599428653717
1,871139,87113901,NA,246,6,-0.4249599874019623
2,10101,1010101,1,247,7,-0.12274900078773499
2,10101,1010102,1,247,7,0.9231740236282349
2,10101,1010103,1,247,6,0.6307049989700317
2,10101,1010104,1,247,6,0.46420401334762573
2,10101,1010105,1,247,7,0.9900010228157043
2,10101,1010106,1,247,4,0.9858970046043396
2,10101,1010107,1,247,6,0.2728379964828491
2,10101,1010108,1,247,8,0.7233960032463074
2,10101,1010109,1,247,5,-0.30958399176597595
2,10101,1010110,1,247,8,0.5076010227203369
2,10202,1020201,2,248,6,-0.5020310282707214
2,10202,1020202,2,248,5,-0.5961369872093201
2,10202,1020203,2,248,5,-0.3253979980945587
2,10202,1020204,2,248,8,0.14834900200366974
2,10202,1020205,2,248,4,0.1343970000743866
2,10202,1020206,2,248,8,0.4724409878253937
2,10202,1020207,2,248,4,-0.09761390089988708
2,10202,1020208,2,248,8,0.0418769009411335
2,10202,1020209,2,248,6,0.5167250037193298
2,10202,1020210,2,248,6,0.174453005194664
2,10303,1030301,3,249,8,-0.44996899366378784
2,10303,1030302,3,249,6,0.7026339769363403
2,10404,1040401,4,250,6,-0.23536400496959686
2,10404,1040402,4,250,5,0.14925499260425568
2,10404,1040403,4,250,8,0.14819200336933136
2,10404,1040404,4,250,8,0.4422599971294403
2,10404,1040405,4,250,6,0.42077499628067017
2,10404,1040406,4,250,6,-1.6677000522613525
2,10404,1040407,4,250,6,0.2568410038948059
2,10404,1040408,4,250,8,-0.45069199800491333
2,10404,1040409,4,250,8,0.12327499687671661
2,10404,1040410,4,250,9,0.463032990694046
2,10505,1050501,5,251,5,-0.11858300119638443
2,10505,1050502,5,251,5,0.7805299758911133
2,10505,1050503,5,251,4,0.5113700032234192
2,10505,1050504,5,251,6,1.0319600105285645
2,10505,1050505,5,251,6,1.3618500232696533
2,10505,1050506,5,251,8,0.18038499355316162
2,10505,1050507,5,251,4,-0.803695023059845
2,10505,1050508,5,251,7,0.8623340129852295
2,10505,1050509,5,251,5,0.599793016910553
2,10505,1050510,5,251,6,-1.6982500553131104
2,10606,1060601,6,252,4,0.6382309794425964
2,10606,1060602,6,252,4,0.6371110081672668
2,10606,1060603,6,252,5,-0.8553799986839294
2,10606,1060604,6,252,5,0.1270660012960434
2,10606,1060605,6,252,4,0.37999600172042847
2,10707,1070701,7,253,4,-1.253250002861023
2,10707,1070702,7,253,6,-0.5078650116920471
2,10707,1070703,7,253,5,-0.9067999720573425
2,10707,1070704,7,253,8,-0.13368600606918335
2,10707,1070705,7,253,4,-0.714680016040802
2,10707,1070706,7,253,6,-0.5886420011520386
2,10707,1070707,7,253,6,-3.6884899139404297
2,10808,1080801,8,254,4,0.029895199462771416
2,10808,1080802,8,254,5,0.8549010157585144
2,10808,1080803,8,254,4,-1.1103399991989136
2,10808,1080804,8,254,4,0.7518969774246216
2,10808,1080805,8,254,4,0.712867021560669
2,10808,1080806,8,254,6,1.1444100141525269
2,10808,1080807,8,254,6,0.5515890121459961
2,10808,1080808,8,254,6,0.42100900411605835
2,10808,1080809,8,254,4,0.40500500798225403
2,10808,1080810,8,254,6,0.3553529977798462
2,10808,1080811,8,254,6,1.3120299577713013
2,10909,1090901,9,255,4,-0.27524900436401367
2,10909,1090902,9,255,6,-0.054072801023721695
2,10909,1090903,9,255,4,0.37146300077438354
2,10909,1090904,9,255,5,0.15581700205802917
2,10909,1090905,9,255,6,0.16772499680519104
2,10909,1090906,9,255,4,0.3765850067138672
